,,,,,"NFIs / Services Provided",,,,,,,
PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,"NO. OF FAMILIES AFFECTED [number]","NO. OF FAMILIES ASSISTED [number]",CLUSTER,TYPE,"QTY [number]",UNIT,"COST PER UNIT [number]","AMOUNT [number]",SOURCE,REMARKS
"LA UNION",none,none,,,Logistics,"Shelter Repair Kits",,,3349,6785074.00,"OCD R1",
