,,,,,,"F/NFIs PROVIDED",,,,,,,
PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,"NO. OF FAMILIES AFFECTED [number]",NEEDS,"NO. OF FAMILIES REQUIRING ASSISTANCE [number]","QTY [number]",UNIT,"COST PER UNIT [number]","AMOUNT [number]",SOURCE,"NO. OF FAMILIES ASSISTED [number]","% OF FAMILIES ASSISTED [number]",REMARKS
"LA UNION","San Fernando",none,0,"Family Food Pack",0,277,pack,608.7,203678.84,DSWD,0,nan,
"LA UNION","San Fernando",none,0,"Sleeping Kits",0,500,kit,1575,787500,DSWD,0,nan,
"LA UNION","San Fernando",none,0,Various,0,0,various,0,39071,LGU,0,nan,
"LA UNION","San Fernando",none,0,"Emergency Cash Transfer",0,271,Various,5265,1426815,DSWD,0,nan,
"LA UNION",Santol,none,291,Various,291,0,various,0,25313,OTHERS,291,100.00,
"LA UNION",Santol,none,0,Various,0,0,Various,0,22620,LGU,0,nan,
"LA UNION",Santol,none,0,"Family Food Pack",0,127,Pack,127,65151,DSWD,0,nan,
"LA UNION",Santol,none,0,"Hygiene Kits",0,2,Kit,1288,2576,DSWD,0,nan,
"LA UNION",Sudipen,none,499,Various,499,0,Various,0,90735,LGU,499,100.00,
PANGASINAN,none,"2nd District",0,"Family Food Packs",0,2521,Pack,513,1293273,DSWD,0,nan,
PANGASINAN,none,"4th District",0,various,0,11000,pack,0,5643000,DSWD,0,nan,
PANGASINAN,Agno,none,11029,"Family Food Packs",11029,1700,pack,787.28,1338376,DSWD,1700,15.41,
PANGASINAN,Alaminos,none,13322,Various,13322,0,Various,0,289350,LGU,508,3.81,
PANGASINAN,Alaminos,none,0,"Family Food Packs",0,8400,pack,648.14,5772426,DSWD,8400,inf,
PANGASINAN,Anda,none,13850,"Family Food Packs",13850,8118,pack,578.58,5161484,DSWD,8118,58.61,
PANGASINAN,Balungao,none,168,various,168,0,Various,0,32595,LGU,168,100.00,
PANGASINAN,Bani,none,2291,"Family Food Packs",2291,1000,Pack,513,513000.00,DSWD,2291,100.00,
PANGASINAN,Basista,none,15014,"Family Food Packs",15014,14086,Pack,511,7218574,DSWD,14086,93.82,
PANGASINAN,Binmaley,none,36825,"Family Food Packs",36825,1700,Pack,509,865300,DSWD,1700,4.62,
PANGASINAN,Binmaley,none,0,"Emergency Cash Transfer",0,2116,Various,5265,11140740,DSWD,2116,inf,
PANGASINAN,Bolinao,none,16327,"Family Food Packs",16327,13400,Pack,648.14,7484876,DSWD,13400,82.07,
PANGASINAN,Burgos,none,530,"Family Food Packs",530,400,pack,513,205200,DSWD,530,100.00,
PANGASINAN,Burgos,none,0,"Hygiene Kits",0,285,kit,1706.65,486395.25,DSWD,0,nan,
PANGASINAN,Burgos,none,,"Laminated Sack",,20,Sack,,93000.00,DSWD,,,
PANGASINAN,Burgos,none,0,various,0,0,Various,0,61900,LGU,0,nan,
PANGASINAN,Dasol,none,2000,"Family Food Packs",2000,1865,Pack,513,956745,DSWD,1865,93.25,
PANGASINAN,Infanta,none,10162,"Family Food Packs",10162,6150,Pack,509,3130350,DSWD,6150,60.52,
PANGASINAN,Labrador,none,9998,"Family Food Packs",9998,9810,pack,511,5032490,DSWD,9810,98.12,
PANGASINAN,Laoac,none,1185,"Family Food Packs",1185,1185,Pack,513,607905,DSWD,1185,100.00,
PANGASINAN,Lingayen,none,36212,"Family Food Packs",36010,24220,Pack,578.99,13649668.26,DSWD,36212,100.56,
PANGASINAN,Mangatarem,none,19727,"Family Food Packs",19727,1712,pack,513,878256,DSWD,1712,8.68,
PANGASINAN,"San Carlos",none,7082,Various,7082,0,various,0,32109.79,LGU,7082,100.00,
PANGASINAN,"San Manuel",none,349,"Family Food Packs",349,293,Pack,787.28,230673.04,DSWD,349,100.00,
PANGASINAN,"San Manuel",none,0,"Hygiene Kits",0,165,kit,1706.65,281597.25,DSWD,0,nan,
PANGASINAN,"San Manuel",none,0,"Kitchen Kits",0,11,Kit,1626.25,18035,DSWD,0,nan,
PANGASINAN,"San Manuel",none,0,"Laminated Sacks",0,11,Pc,4650,51150,DSWD,0,nan,
PANGASINAN,"San Manuel",none,0,"Family Kits",0,11,KIt,2410,27500,DSWD,0,nan,
PANGASINAN,"San Manuel",none,0,"Sleeping Kits",0,165,kit,1575,259875,DSWD,0,nan,
PANGASINAN,"San Nicolas",none,13840,"Family Food Packs",13840,9050,pack,603.09,5494232,DSWD,9050,65.39,
PANGASINAN,SantoTomas,none,679,"Family Food Packs",679,679,Pack,513,348327.00,DSWD,279,41.09,
PANGASINAN,Sual,none,15007,"Family Food Packs",15007,480,Pack,513,246240,DSWD,480,3.20,
PANGASINAN,Tayug,none,7500,"Family Food Packs",7500,7500,pack,592.07,4142641,DSWD,7500,100.00,
PANGASINAN,Urbiztondo,none,9145,"Family Food Packs",9145,750,Pack,513,384750,DSWD,750,8.20,
DAGUPAN,Dagupan,none,42646,"Family Food Packs",42646,52322,pack,531.71,27726735.23,DSWD,38106,89.35,
DAGUPAN,Dagupan,none,0,various,0,0,Various,0,2192019.71,LGU,1960,inf,
