PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,"FAMILIES [number]","MALE [number]","FEMALE [number]","TOTAL (Note: If the available data is ""Total Persons"", please input/encode in this column) [number]",REMARKS
PANGASINAN,"San Carlos City","Brgy. Aponit, Brgy. Calomboyan, Brgy. Buenglat, Bani, Guelew, Brgy. Agdao, Longos, Bogaoan, Mabalbalino, Bugallon Posadas, Antipangol, Balococ, Palospos, Quezon Blvd, Burgos Padlan, Polo, M. Soriano",182,0,0,625,"Agdao Evacuation Center, Calomboyan Elem. School, Brgy. Buenglat New Brgy. Hall, Buenglat Health Center, Brgy.Bani New Building, Brgy. Hall, Bani Elem. School, Aponit Elem. School, Guelew Gymnasium, Longos Multi Purpose Hall, Bogaoan Brgy. Hall, Mabalbalino National High School, Arenas Gym Complex, Antipangol Brgy. Hall, Balococ Brgy Hall, Palospos Multi purpose Hall, Quezon Blvd Brgy Hall, Burgos Padlan Brgy. Hall, Polo Brgy. Hall, M. Soriano Brgy. Hall"
PANGASINAN,"San Fabian","Brgy. Nibaliw Narvarate, Brgy. Tempra Guilig , Brgy. Sobol , Brgy. Lekep Butao, Brgy. Tocok",81,0,0,269,"Sport Civic Center San Fabian, San Fabian National High School, Teodora Cacapit ES Sobol"
PANGASINAN,"San Jacinto",Lobong,5,0,0,15,"Sangguniang Bayan Building"
PANGASINAN,"San Manuel",none,2,0,0,0,
PANGASINAN,"San Nicolas","Brgy Cacabugaoan, brgy Calanutian, Brgy Nining, Lungao, Casaratan, Salpad, San Felipe west, San jose, Sta Maria West",42,0,0,88,"Cacabugaoan Child Development Center, Brgy health Center Calanutian, Nining brgy hall"
PANGASINAN,"San Quintin","Brgy Nangapugan",1,0,0,9,"Brgy Nangapugan Brgy Hall"
PANGASINAN,Sison,"Brgy Bulaoen West, Brgy Pinalpal",25,0,0,70,"Bulaoen West Elementary School, Pinalpal Elementary School"
PANGASINAN,"Sto. Tomas","San Antonio, Poblacion East",23,0,0,72,"Municipal Evacuation Center, Ernesting Elem. School, Poblacion East Brgy. Hall"
PANGASINAN,Sual,"Barangay Cabalitian, Barangay Paitan West, Brgy. Poblacion, Barangay Pangascasan, Barangay Santo Domingo",202,0,0,801,"Sual Evacuation Center"
PANGASINAN,Tayug,"Amistad, Poblacion A, Panganiban",5,0,0,26,"Panganiban Evacuation Center and Tayug South Central Elem. School"
PANGASINAN,Urbiztondo,Poblacion,6,0,0,18,"Urbiztondo Sports Complex and Gymnasium"
PANGASINAN,"Urdaneta City","Nancamaliran West, Pinmaludpod",3,0,0,17,"Lananpin Elem School"
